t_0: 1, q_0: 0.3, instance: 9, makespan: 150.3 += 2.9, time: 66.6 += 33.5
t_0: 1, q_0: 0.3, instance: 10, makespan: 167.3 += 4.0, time: 76.4 += 20.8
t_0: 1, q_0: 0.3, instance: 11, makespan: 184.3 += 0.6, time: 116.5 += 20.2
t_0: 1, q_0: 0.3, instance: 12, makespan: 194.0 += 5.6, time: 145.7 += 13.4
---------------------------------------------------------------------------------
t_0: 0.1, q_0: 0.1, instance: 0, makespan: 23.7 += 1.2, time: 0.1 += 0.1
t_0: 0.1, q_0: 0.1, instance: 1, makespan: 40.0 += 3.5, time: 0.6 += 0.2
t_0: 0.1, q_0: 0.1, instance: 2, makespan: 58.7 += 1.5, time: 2.1 += 1.0
t_0: 0.1, q_0: 0.1, instance: 3, makespan: 72.7 += 3.2, time: 4.1 += 1.0
t_0: 0.1, q_0: 0.1, instance: 4, makespan: 86.0 += 1.0, time: 8.4 += 3.0
t_0: 0.1, q_0: 0.1, instance: 5, makespan: 106.7 += 3.5, time: 13.3 += 2.9
t_0: 0.1, q_0: 0.1, instance: 6, makespan: 123.7 += 3.2, time: 25.1 += 8.2
t_0: 0.1, q_0: 0.1, instance: 7, makespan: 143.0 += 2.6, time: 28.7 += 0.4
t_0: 0.1, q_0: 0.1, instance: 8, makespan: 158.0 += 3.6, time: 44.1 += 12.1
t_0: 0.1, q_0: 0.1, instance: 9, makespan: 175.3 += 3.2, time: 73.4 += 17.1
t_0: 0.1, q_0: 0.1, instance: 10, makespan: 192.7 += 4.0, time: 73.2 += 14.4
t_0: 0.1, q_0: 0.1, instance: 11, makespan: 208.7 += 4.0, time: 133.0 += 19.1
t_0: 0.1, q_0: 0.1, instance: 12, makespan: 234.3 += 1.2, time: 119.8 += 24.0
t_0: 0.1, q_0: 0.3, instance: 0, makespan: 23.0 += 0.0, time: 0.1 += 0.0
t_0: 0.1, q_0: 0.3, instance: 1, makespan: 37.3 += 1.5, time: 0.7 += 0.2
t_0: 0.1, q_0: 0.3, instance: 2, makespan: 51.3 += 1.5, time: 2.0 += 0.7
t_0: 0.1, q_0: 0.3, instance: 3, makespan: 66.0 += 1.0, time: 5.2 += 3.2
t_0: 0.1, q_0: 0.3, instance: 4, makespan: 79.3 += 2.3, time: 8.8 += 1.9
t_0: 0.1, q_0: 0.3, instance: 5, makespan: 94.7 += 0.6, time: 16.7 += 4.1
t_0: 0.1, q_0: 0.3, instance: 6, makespan: 109.0 += 1.7, time: 25.7 += 3.9
t_0: 0.1, q_0: 0.3, instance: 7, makespan: 121.3 += 4.0, time: 35.2 += 5.8
t_0: 0.1, q_0: 0.3, instance: 8, makespan: 141.0 += 2.6, time: 31.2 += 0.4
t_0: 0.1, q_0: 0.3, instance: 9, makespan: 149.3 += 2.5, time: 66.3 += 12.2
t_0: 0.1, q_0: 0.3, instance: 10, makespan: 164.0 += 6.1, time: 92.7 += 32.5
t_0: 0.1, q_0: 0.3, instance: 11, makespan: 182.3 += 2.1, time: 78.0 += 10.2
t_0: 0.1, q_0: 0.3, instance: 12, makespan: 198.0 += 4.6, time: 113.5 += 39.4
t_0: 0.1, q_0: 0.5, instance: 0, makespan: 23.0 += 0.0, time: 0.1 += 0.0
t_0: 0.1, q_0: 0.5, instance: 1, makespan: 35.3 += 0.6, time: 0.4 += 0.1
t_0: 0.1, q_0: 0.5, instance: 2, makespan: 47.7 += 1.2, time: 1.6 += 0.3
t_0: 0.1, q_0: 0.5, instance: 3, makespan: 60.7 += 1.5, time: 3.2 += 0.4
t_0: 0.1, q_0: 0.5, instance: 4, makespan: 73.0 += 1.0, time: 6.9 += 3.0
t_0: 0.1, q_0: 0.5, instance: 5, makespan: 82.7 += 0.6, time: 13.3 += 3.9
t_0: 0.1, q_0: 0.5, instance: 6, makespan: 98.3 += 1.2, time: 20.8 += 0.1
t_0: 0.1, q_0: 0.5, instance: 7, makespan: 111.3 += 2.1, time: 25.5 += 5.0
t_0: 0.1, q_0: 0.5, instance: 8, makespan: 124.3 += 1.2, time: 36.3 += 12.5
t_0: 0.1, q_0: 0.5, instance: 9, makespan: 137.7 += 1.2, time: 59.3 += 9.4
t_0: 0.1, q_0: 0.5, instance: 10, makespan: 146.3 += 3.2, time: 86.7 += 8.0
t_0: 0.1, q_0: 0.5, instance: 11, makespan: 162.0 += 1.7, time: 109.5 += 28.0
t_0: 0.1, q_0: 0.5, instance: 12, makespan: 175.7 += 2.3, time: 135.5 += 69.1
t_0: 0.1, q_0: 0.7, instance: 0, makespan: 23.0 += 0.0, time: 0.1 += 0.0
t_0: 0.1, q_0: 0.7, instance: 1, makespan: 35.0 += 0.0, time: 0.6 += 0.2
t_0: 0.1, q_0: 0.7, instance: 2, makespan: 44.3 += 0.6, time: 2.1 += 0.2
t_0: 0.1, q_0: 0.7, instance: 3, makespan: 57.0 += 1.0, time: 3.6 += 0.3
t_0: 0.1, q_0: 0.7, instance: 4, makespan: 67.3 += 1.2, time: 9.9 += 2.9
t_0: 0.1, q_0: 0.7, instance: 5, makespan: 81.0 += 1.0, time: 10.0 += 2.4
t_0: 0.1, q_0: 0.7, instance: 6, makespan: 92.7 += 0.6, time: 15.3 += 1.8
t_0: 0.1, q_0: 0.7, instance: 7, makespan: 104.7 += 2.5, time: 22.5 += 3.0
t_0: 0.1, q_0: 0.7, instance: 8, makespan: 116.7 += 1.5, time: 32.0 += 8.0
t_0: 0.1, q_0: 0.7, instance: 9, makespan: 128.3 += 0.6, time: 40.8 += 5.3
t_0: 0.1, q_0: 0.7, instance: 10, makespan: 138.3 += 2.1, time: 76.8 += 6.6
t_0: 0.1, q_0: 0.7, instance: 11, makespan: 152.3 += 0.6, time: 103.0 += 19.9
t_0: 0.1, q_0: 0.7, instance: 12, makespan: 165.7 += 2.3, time: 95.5 += 11.7
t_0: 0.1, q_0: 0.9, instance: 0, makespan: 23.0 += 0.0, time: 0.1 += 0.0
t_0: 0.1, q_0: 0.9, instance: 1, makespan: 34.7 += 1.2, time: 0.4 += 0.1
t_0: 0.1, q_0: 0.9, instance: 2, makespan: 44.7 += 1.2, time: 1.3 += 0.2
t_0: 0.1, q_0: 0.9, instance: 3, makespan: 56.0 += 1.0, time: 4.3 += 0.0
t_0: 0.1, q_0: 0.9, instance: 4, makespan: 65.0 += 0.0, time: 6.9 += 2.0
t_0: 0.1, q_0: 0.9, instance: 5, makespan: 78.0 += 0.0, time: 9.0 += 1.1
t_0: 0.1, q_0: 0.9, instance: 6, makespan: 90.3 += 0.6, time: 17.7 += 4.8
t_0: 0.1, q_0: 0.9, instance: 7, makespan: 100.7 += 1.5, time: 26.8 += 5.3
t_0: 0.1, q_0: 0.9, instance: 8, makespan: 112.3 += 1.2, time: 29.8 += 7.5
t_0: 0.1, q_0: 0.9, instance: 9, makespan: 123.3 += 2.1, time: 51.6 += 29.9
t_0: 0.1, q_0: 0.9, instance: 10, makespan: 135.3 += 1.2, time: 71.4 += 2.9
t_0: 0.1, q_0: 0.9, instance: 11, makespan: 147.0 += 0.0, time: 71.0 += 17.4
t_0: 0.1, q_0: 0.9, instance: 12, makespan: 159.3 += 0.6, time: 113.9 += 31.1
